baseline mae = 1.8829 (30 layers)
  dropping flare_core           costs -0.0000 mae
  dropping flare_spike          costs +0.0018 mae
  dropping flare_ray_c          costs +0.0029 mae
  dropping exterior_top         costs +0.0083 mae
  dropping flare_ray_e          costs +0.0090 mae
  dropping field_vert           costs +0.0152 mae
  dropping exterior_corner      costs +0.0216 mae
  dropping flare_streak         costs +0.0231 mae
  dropping flare_halo           costs +0.0269 mae
  dropping flare_ray_a          costs +0.0270 mae
  dropping corner_in_top        costs +0.0271 mae
  dropping flare_fan            costs +0.0367 mae
  dropping arc_core_wide        costs +0.0416 mae
  dropping flare_ray_d          costs +0.0426 mae
  dropping flare_ray_b          costs +0.0443 mae
  dropping arc_glow1b           costs +0.0797 mae
  dropping field_grad           costs +0.0836 mae
  dropping corner_in            costs +0.0858 mae
  dropping arc_glow2b           costs +0.1980 mae
  dropping flare_halo_far       costs +0.2225 mae
  dropping field_mid            costs +0.2275 mae
  dropping arc_haze             costs +0.2640 mae
  dropping arc_glow2            costs +0.3521 mae
  dropping arc_glow1            costs +0.3664 mae
  dropping arc_glow3            costs +1.1434 mae
